Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,MSFT,GOOG,TSLA,AMZN,GC=F,AAPL,MSFT,GOOG,TSLA,AMZN,GC=F,AAPL,MSFT,GOOG,TSLA,AMZN,GC=F,AAPL,MSFT,GOOG,TSLA,AMZN,GC=F,AAPL,MSFT,GOOG,TSLA,AMZN,GC=F
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,75.0875015258789,160.6199951171875,68.36849975585938,28.68400001525879,94.90049743652344,1524.5,75.1500015258789,160.72999572753906,68.40699768066406,28.713333129882812,94.90049743652344,1528.699951171875,73.79750061035156,158.3300018310547,67.07749938964844,28.11400032043457,93.2074966430664,1518.0,74.05999755859375,158.77999877929688,67.07749938964844,28.299999237060547,93.75,1518.0999755859375,135480400,22622100,28132000,142981500,80580000,214
2020-01-03,74.35749816894531,158.6199951171875,68.03299713134766,29.534000396728516,93.74849700927734,1549.199951171875,75.1449966430664,159.9499969482422,68.625,30.266666412353516,94.30999755859375,1552.699951171875,74.125,158.05999755859375,67.2771987915039,29.128000259399414,93.2249984741211,1530.0999755859375,74.2874984741211,158.32000732421875,67.39299774169922,29.366666793823242,93.2249984741211,1530.0999755859375,146322800,21116200,23728000,266677500,75288000,107
2020-01-06,74.94999694824219,159.02999877929688,69.71050262451172,30.1026668548584,95.14399719238281,1566.199951171875,74.98999786376953,159.10000610351562,69.82499694824219,30.104000091552734,95.18450164794922,1580.0,73.1875,156.50999450683594,67.5,29.333332061767578,93.0,1560.4000244140625,73.44750213623047,157.0800018310547,67.5,29.364667892456055,93.0,1580.0,118387200,20813700,34646000,151995000,81236000,416
2020-01-07,74.59750366210938,157.5800018310547,69.66699981689453,31.270666122436523,95.34300231933594,1571.800048828125,75.2249984741211,159.6699981689453,70.14949798583984,31.441999435424805,95.69450378417969,1576.300048828125,74.37000274658203,157.32000732421875,69.51899719238281,30.224000930786133,94.60199737548828,1558.300048828125,74.95999908447266,159.32000732421875,69.89700317382812,30.760000228881836,95.2249984741211,1558.300048828125,108872000,21634100,30054000,268231500,80898000,47
2020-01-08,75.79750061035156,160.08999633789062,70.21600341796875,32.80933380126953,94.59850311279297,1557.4000244140625,76.11000061035156,160.8000030517578,70.5790023803711,33.232666015625,95.55000305175781,1604.199951171875,74.29000091552734,157.9499969482422,69.54199981689453,31.215333938598633,94.3219985961914,1552.300048828125,74.29000091552734,158.92999267578125,69.60399627685547,31.579999923706055,94.9020004272461,1579.699951171875,132079200,27746500,30560000,467164500,70160000,236
2020-01-09,77.40750122070312,162.08999633789062,70.99150085449219,32.089332580566406,95.05249786376953,1551.699951171875,77.60749816894531,162.22000122070312,71.36650085449219,33.253334045410156,95.89099884033203,1555.699951171875,76.55000305175781,161.02999877929688,70.51349639892578,31.524667739868164,94.79000091552734,1543.300048828125,76.80999755859375,161.83999633789062,71.02850341796875,33.13999938964844,95.49449920654297,1555.699951171875,170108400,21385000,30018000,426606000,63346000,54
2020-01-10,77.5824966430664,161.33999633789062,71.48650360107422,31.876667022705078,94.15799713134766,1557.5,78.1675033569336,163.22000122070312,71.74645233154297,32.3293342590332,95.34700012207031,1558.800048828125,77.0625,161.17999267578125,70.9175033569336,31.579999923706055,94.0,1545.4000244140625,77.6500015258789,162.82000732421875,71.37799835205078,32.11933135986328,95.26850128173828,1551.199951171875,140644800,20725900,36414000,194392500,57074000,16
2020-01-13,79.23999786376953,163.27999877929688,71.96150207519531,34.990665435791016,94.56500244140625,1548.4000244140625,79.26750183105469,163.30999755859375,72.0260009765625,35.04199981689453,94.9000015258789,1558.0,77.7874984741211,161.25999450683594,71.3010025024414,32.79999923706055,94.04000091552734,1548.4000244140625,77.91000366210938,161.75999450683594,71.80650329589844,32.900001525878906,94.56549835205078,1557.4000244140625,121532000,21626500,33046000,397764000,55616000,48
